,Image Name,ratio
339,4.pdf_Page 2.jpg_in_logo_EDF_screenshot.PNG,0.06
340,4.pdf_Page 2.jpg_in_logo_enercorp.png,0.0
341,4.pdf_Page 2.jpg_in_logo_engie.png,0.0
342,4.pdf_Page 2.jpg_in_logo_engie_screenshot.JPG,0.0
343,4.pdf_Page 2.jpg_in_logo_free.png,0.0
344,4.pdf_Page 2.jpg_in_logo_free_screenshot.JPG,0.0
345,4.pdf_Page 2.jpg_in_logo_lcl.png,0.0
346,4.pdf_Page 2.jpg_in_logo_LCL_screenshot.JPG,0.0
347,4.pdf_Page 2.jpg_in_logo_orange.png,0.0
348,4.pdf_Page 2.jpg_in_logo_orange_screenshot.JPG,0.0
349,4.pdf_Page 2.jpg_in_logo_sfr.png,0.0
350,4.pdf_Page 2.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
351,4.pdf_Page 2.jpg_in_logo_societe_generale.png,0.0
352,4.pdf_Page 3.jpg_in_logo_bouygues_screenshot.JPG,0.0
353,4.pdf_Page 3.jpg_in_logo_bouygues_telecom.png,0.0
354,4.pdf_Page 3.jpg_in_logo_EDF.png,0.0
355,4.pdf_Page 3.jpg_in_logo_EDF_screenshot.PNG,0.06
356,4.pdf_Page 3.jpg_in_logo_enercorp.png,0.0
357,4.pdf_Page 3.jpg_in_logo_engie.png,0.0
358,4.pdf_Page 3.jpg_in_logo_engie_screenshot.JPG,0.0
359,4.pdf_Page 3.jpg_in_logo_free.png,0.0
360,4.pdf_Page 3.jpg_in_logo_free_screenshot.JPG,0.0
361,4.pdf_Page 3.jpg_in_logo_lcl.png,0.0
362,4.pdf_Page 3.jpg_in_logo_LCL_screenshot.JPG,0.0
363,4.pdf_Page 3.jpg_in_logo_orange.png,0.0
364,4.pdf_Page 3.jpg_in_logo_orange_screenshot.JPG,0.0
365,4.pdf_Page 3.jpg_in_logo_sfr.png,0.0
366,4.pdf_Page 3.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
367,4.pdf_Page 3.jpg_in_logo_societe_generale.png,0.0
368,5.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.0
369,5.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.0
370,5.pdf_Page 1.jpg_in_logo_EDF.png,0.0
371,5.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.04
372,5.pdf_Page 1.jpg_in_logo_enercorp.png,0.02
373,5.pdf_Page 1.jpg_in_logo_engie.png,0.0
374,5.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.0
375,5.pdf_Page 1.jpg_in_logo_free.png,0.0
376,5.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.0
377,5.pdf_Page 1.jpg_in_logo_lcl.png,0.0
378,5.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.0
379,5.pdf_Page 1.jpg_in_logo_orange.png,0.01
